买书啦[呲牙][呲牙][呲牙] 1⁠2⁠-⁠1⁠5⁠
看到您很暖心 有种相见恨晚的感觉 爷爷加油 1⁠2⁠-⁠1⁠5⁠
书买了签名有吗 1⁠2⁠-⁠1⁠4⁠
这本书我买了几年了 1⁠2⁠-⁠1⁠4⁠
做了8瓶 1⁠2⁠-⁠1⁠4⁠
刚买了，希望能有北海爷爷的签名 1⁠2⁠-⁠1⁠4⁠
[鼓掌][鼓掌] 1⁠2⁠-⁠1⁠4⁠
爷爷你真年轻 有个好性格 真好[赞] 我要有你这个性格就好了 1⁠2⁠-⁠1⁠4⁠
爷爷，翻不翻[微笑] 1⁠2⁠-⁠1⁠4⁠
我看过那本书，，很好看。 1⁠2⁠-⁠1⁠4⁠
你们一定好幸福呀[赞][赞][赞] 1⁠2⁠-⁠1⁠4⁠
每条评论都回复 超级棒[大笑] 1⁠2⁠-⁠1⁠4⁠
北海爷爷，好喜欢你写的书[呲牙] 1⁠2⁠-⁠1⁠4⁠
我爷爷得了癌症 1⁠2⁠-⁠1⁠4⁠
买啦，好期待[耶] 1⁠2⁠-⁠1⁠4⁠
我太您了[耶]， 1⁠2⁠-⁠1⁠4⁠
这本书我已经买了，内容真的很不错[鼓掌] 1⁠2⁠-⁠1⁠4⁠
北海爷爷，我做了5个固体香水，想问您，冰冻一次之后还需要再冰冻么 1⁠2⁠-⁠1⁠4⁠
可不可以做直播教学？ 1⁠2⁠-⁠1⁠4⁠
爷爷好 1⁠2⁠-⁠1⁠4⁠
我也是山东的[可怜] 1⁠2⁠-⁠1⁠4⁠
谁录的像 1⁠2⁠-⁠1⁠4⁠
真羡慕您啊！[捂脸] 1⁠2⁠-⁠1⁠4⁠
缺小徒弟吗？[捂脸]求带 1⁠2⁠-⁠1⁠4⁠
我想要买大叔签名的书 [大金牙] 怎么办 拜托拜托@末那大叔 1⁠2⁠-⁠1⁠4⁠
在刷宝看到别人发爷爷视频，果断来找到关注 1⁠2⁠-⁠1⁠4⁠
爷爷好可爱 1⁠2⁠-⁠1⁠4⁠
这儿子多大了 1⁠2⁠-⁠1⁠4⁠
真好 1⁠2⁠-⁠1⁠4⁠
晚上好爷爷 1⁠2⁠-⁠1⁠4⁠
我是小粉丝，请问可以通过微信好友吗？ 1⁠2⁠-⁠1⁠4⁠
爷爷太可爱了 1⁠2⁠-⁠1⁠4⁠
爷俩真好。 1⁠2⁠-⁠1⁠4⁠
红红火火恍恍惚惚[耶][耶][耶] 1⁠2⁠-⁠1⁠4⁠
我是真的不能接受年纪太过大接触香水之类的 [捂脸] 1⁠2⁠-⁠1⁠4⁠
大叔缺儿媳妇不，哈哈！古龙膏之前那个版本我找半天还没找到！！ 1⁠2⁠-⁠1⁠4⁠
